Ward,Day,Time,Demand,DemandType
Ward 1,Tuesday,20:00:00,211,High Demand
Ward 1,Tuesday,21:00:00,79,Medium Demand
Ward 1,Tuesday,22:00:00,93,High Demand
Ward 1,Tuesday,23:00:00,72,Medium Demand
Ward 1,Wednesday,00:00:00,80,Medium Demand
Ward 1,Wednesday,01:00:00,81,Medium Demand
Ward 1,Wednesday,02:00:00,68,Medium Demand
Ward 1,Wednesday,03:00:00,76,Medium Demand
Ward 1,Wednesday,04:00:00,73,Medium Demand
Ward 1,Wednesday,05:00:00,70,Medium Demand
Ward 1,Wednesday,06:00:00,154,High Demand
Ward 1,Wednesday,07:00:00,155,High Demand
Ward 1,Wednesday,08:00:00,160,High Demand
Ward 1,Wednesday,09:00:00,161,High Demand
Ward 1,Wednesday,10:00:00,119,High Demand
Ward 1,Wednesday,11:00:00,140,High Demand
Ward 1,Wednesday,12:00:00,130,High Demand
Ward 1,Wednesday,13:00:00,134,High Demand
Ward 1,Wednesday,14:00:00,132,High Demand
Ward 1,Wednesday,15:00:00,126,High Demand
Ward 1,Wednesday,16:00:00,124,High Demand
Ward 1,Wednesday,17:00:00,195,High Demand
Ward 1,Wednesday,18:00:00,214,High Demand
Ward 1,Wednesday,19:00:00,216,High Demand
Ward 1,Wednesday,20:00:00,204,High Demand
Ward 1,Wednesday,21:00:00,77,Medium Demand
Ward 1,Wednesday,22:00:00,78,Medium Demand
Ward 1,Wednesday,23:00:00,76,Medium Demand
Ward 1,Thursday,00:00:00,78,Medium Demand
Ward 1,Thursday,01:00:00,87,Medium Demand
Ward 1,Thursday,02:00:00,82,Medium Demand
Ward 1,Thursday,03:00:00,86,Medium Demand
Ward 1,Thursday,04:00:00,69,Medium Demand
Ward 1,Thursday,05:00:00,88,Medium Demand
Ward 1,Thursday,06:00:00,160,High Demand
Ward 1,Thursday,07:00:00,151,High Demand
Ward 1,Thursday,08:00:00,168,High Demand
Ward 1,Thursday,09:00:00,168,High Demand
Ward 1,Thursday,10:00:00,133,High Demand
Ward 1,Thursday,11:00:00,132,High Demand
Ward 1,Thursday,12:00:00,122,High Demand
Ward 1,Thursday,13:00:00,141,High Demand
Ward 1,Thursday,14:00:00,131,High Demand
Ward 1,Thursday,15:00:00,139,High Demand
Ward 1,Thursday,16:00:00,141,High Demand
Ward 1,Thursday,17:00:00,193,High Demand
Ward 1,Thursday,18:00:00,206,High Demand
Ward 1,Thursday,19:00:00,204,High Demand
Ward 1,Thursday,20:00:00,218,High Demand
Ward 1,Thursday,21:00:00,86,Medium Demand
Ward 1,Thursday,22:00:00,79,Medium Demand
Ward 1,Thursday,23:00:00,87,Medium Demand
Ward 1,Friday,00:00:00,87,Medium Demand
Ward 1,Friday,01:00:00,67,Medium Demand
Ward 1,Friday,02:00:00,77,Medium Demand
Ward 1,Friday,03:00:00,74,Medium Demand
Ward 1,Friday,04:00:00,88,Medium Demand
Ward 1,Friday,05:00:00,76,Medium Demand
Ward 1,Friday,06:00:00,167,High Demand
Ward 1,Friday,07:00:00,166,High Demand
Ward 1,Friday,08:00:00,166,High Demand
Ward 1,Friday,09:00:00,176,High Demand
Ward 1,Friday,10:00:00,128,High Demand
Ward 1,Friday,11:00:00,131,High Demand
Ward 1,Friday,12:00:00,123,High Demand
Ward 1,Friday,13:00:00,140,High Demand
Ward 1,Friday,14:00:00,128,High Demand
Ward 1,Friday,15:00:00,130,High Demand
Ward 1,Friday,16:00:00,129,High Demand
Ward 1,Friday,17:00:00,205,High Demand
Ward 1,Friday,18:00:00,211,High Demand
Ward 1,Friday,19:00:00,217,High Demand
Ward 1,Friday,20:00:00,198,High Demand
Ward 1,Friday,21:00:00,87,Medium Demand
Ward 1,Friday,22:00:00,89,Medium Demand
Ward 1,Friday,23:00:00,91,High Demand
Ward 1,Saturday,00:00:00,97,High Demand
Ward 1,Saturday,01:00:00,82,Medium Demand
Ward 1,Saturday,02:00:00,88,Medium Demand
Ward 1,Saturday,03:00:00,89,Medium Demand
Ward 1,Saturday,04:00:00,80,Medium Demand
Ward 1,Saturday,05:00:00,100,High Demand
Ward 1,Saturday,06:00:00,197,High Demand
Ward 1,Saturday,07:00:00,192,High Demand
Ward 1,Saturday,08:00:00,192,High Demand
Ward 1,Saturday,09:00:00,193,High Demand
Ward 1,Saturday,10:00:00,152,High Demand
Ward 1,Saturday,11:00:00,136,High Demand
Ward 1,Saturday,12:00:00,151,High Demand
Ward 1,Saturday,13:00:00,151,High Demand
Ward 1,Saturday,14:00:00,156,High Demand
Ward 1,Saturday,15:00:00,149,High Demand
Ward 1,Saturday,16:00:00,150,High Demand
Ward 1,Saturday,17:00:00,219,High Demand
Ward 1,Saturday,18:00:00,219,High Demand
Ward 1,Saturday,19:00:00,255,High Demand
Ward 1,Saturday,20:00:00,240,High Demand
Ward 1,Saturday,21:00:00,93,High Demand
Ward 1,Saturday,22:00:00,86,Medium Demand
Ward 1,Saturday,23:00:00,87,Medium Demand
Ward 2,Sunday,00:00:00,110,High Demand
Ward 2,Sunday,01:00:00,90,Medium Demand
Ward 2,Sunday,02:00:00,98,High Demand
Ward 2,Sunday,03:00:00,98,High Demand
Ward 2,Sunday,04:00:00,87,Medium Demand
Ward 2,Sunday,05:00:00,104,High Demand
Ward 2,Sunday,06:00:00,189,High Demand
Ward 2,Sunday,07:00:00,194,High Demand
Ward 2,Sunday,08:00:00,208,High Demand
Ward 2,Sunday,09:00:00,197,High Demand
Ward 2,Sunday,10:00:00,152,High Demand
Ward 2,Sunday,11:00:00,152,High Demand
Ward 2,Sunday,12:00:00,158,High Demand
Ward 2,Sunday,13:00:00,159,High Demand
Ward 2,Sunday,14:00:00,147,High Demand
Ward 2,Sunday,15:00:00,143,High Demand
Ward 2,Sunday,16:00:00,169,High Demand
Ward 2,Sunday,17:00:00,251,High Demand
Ward 2,Sunday,18:00:00,241,High Demand
Ward 2,Sunday,19:00:00,236,High Demand
Ward 2,Sunday,20:00:00,239,High Demand
Ward 2,Sunday,21:00:00,90,Medium Demand
Ward 2,Sunday,22:00:00,86,Medium Demand
Ward 2,Sunday,23:00:00,96,High Demand
Ward 2,Monday,00:00:00,75,Medium Demand
Ward 2,Monday,01:00:00,93,High Demand
Ward 2,Monday,02:00:00,86,Medium Demand
Ward 2,Monday,03:00:00,82,Medium Demand
Ward 2,Monday,04:00:00,78,Medium Demand
Ward 2,Monday,05:00:00,77,Medium Demand
Ward 2,Monday,06:00:00,167,High Demand
Ward 2,Monday,07:00:00,173,High Demand
Ward 2,Monday,08:00:00,173,High Demand
Ward 2,Monday,09:00:00,173,High Demand
Ward 2,Monday,10:00:00,131,High Demand
Ward 2,Monday,11:00:00,138,High Demand
Ward 2,Monday,12:00:00,141,High Demand
Ward 2,Monday,13:00:00,124,High Demand
Ward 2,Monday,14:00:00,136,High Demand
Ward 2,Monday,15:00:00,137,High Demand
Ward 2,Monday,16:00:00,129,High Demand
Ward 2,Monday,17:00:00,201,High Demand
Ward 2,Monday,18:00:00,221,High Demand
Ward 2,Monday,19:00:00,220,High Demand
Ward 2,Monday,20:00:00,197,High Demand
Ward 2,Monday,21:00:00,85,Medium Demand
Ward 2,Monday,22:00:00,83,Medium Demand
Ward 2,Monday,23:00:00,78,Medium Demand
Ward 2,Tuesday,00:00:00,89,Medium Demand
Ward 2,Tuesday,01:00:00,69,Medium Demand
Ward 2,Tuesday,02:00:00,86,Medium Demand
Ward 2,Tuesday,03:00:00,76,Medium Demand
Ward 2,Tuesday,04:00:00,78,Medium Demand
Ward 2,Tuesday,05:00:00,90,Medium Demand
Ward 2,Tuesday,06:00:00,174,High Demand
Ward 2,Tuesday,07:00:00,164,High Demand
Ward 2,Tuesday,08:00:00,168,High Demand
Ward 2,Tuesday,09:00:00,172,High Demand
Ward 2,Tuesday,10:00:00,139,High Demand
Ward 2,Tuesday,11:00:00,126,High Demand
Ward 2,Tuesday,12:00:00,120,High Demand
Ward 2,Tuesday,13:00:00,132,High Demand
Ward 2,Tuesday,14:00:00,141,High Demand
Ward 2,Tuesday,15:00:00,128,High Demand
Ward 2,Tuesday,16:00:00,126,High Demand
Ward 2,Tuesday,17:00:00,223,High Demand
Ward 2,Tuesday,18:00:00,206,High Demand
Ward 2,Tuesday,19:00:00,213,High Demand
Ward 2,Tuesday,20:00:00,208,High Demand
Ward 2,Tuesday,21:00:00,92,High Demand
Ward 2,Tuesday,22:00:00,91,High Demand
Ward 2,Tuesday,23:00:00,94,High Demand
Ward 2,Wednesday,00:00:00,86,Medium Demand
Ward 2,Wednesday,01:00:00,74,Medium Demand
Ward 2,Wednesday,02:00:00,84,Medium Demand
Ward 2,Wednesday,03:00:00,84,Medium Demand
Ward 2,Wednesday,04:00:00,80,Medium Demand
Ward 2,Wednesday,05:00:00,79,Medium Demand
Ward 2,Wednesday,06:00:00,162,High Demand
Ward 2,Wednesday,07:00:00,165,High Demand
Ward 2,Wednesday,08:00:00,176,High Demand
Ward 2,Wednesday,09:00:00,167,High Demand
Ward 2,Wednesday,10:00:00,127,High Demand
Ward 2,Wednesday,11:00:00,139,High Demand
Ward 2,Wednesday,12:00:00,139,High Demand
Ward 2,Wednesday,13:00:00,133,High Demand
Ward 2,Wednesday,14:00:00,140,High Demand
Ward 2,Wednesday,15:00:00,138,High Demand
Ward 2,Wednesday,16:00:00,144,High Demand
Ward 2,Wednesday,17:00:00,217,High Demand
Ward 2,Wednesday,18:00:00,190,High Demand
Ward 2,Wednesday,19:00:00,211,High Demand
Ward 2,Wednesday,20:00:00,195,High Demand
Ward 2,Wednesday,21:00:00,80,Medium Demand
Ward 2,Wednesday,22:00:00,86,Medium Demand
Ward 2,Wednesday,23:00:00,93,High Demand
Ward 2,Thursday,00:00:00,85,Medium Demand
Ward 2,Thursday,01:00:00,91,High Demand
Ward 2,Thursday,02:00:00,68,Medium Demand
Ward 2,Thursday,03:00:00,85,Medium Demand
Ward 2,Thursday,04:00:00,94,High Demand
Ward 2,Thursday,05:00:00,96,High Demand
Ward 2,Thursday,06:00:00,180,High Demand
Ward 2,Thursday,07:00:00,182,High Demand
Ward 2,Thursday,08:00:00,168,High Demand
Ward 2,Thursday,09:00:00,175,High Demand
Ward 2,Thursday,10:00:00,138,High Demand
Ward 2,Thursday,11:00:00,127,High Demand
Ward 2,Thursday,12:00:00,128,High Demand
Ward 2,Thursday,13:00:00,141,High Demand
Ward 2,Thursday,14:00:00,140,High Demand
Ward 2,Thursday,15:00:00,137,High Demand
Ward 2,Thursday,16:00:00,130,High Demand
Ward 2,Thursday,17:00:00,209,High Demand
Ward 2,Thursday,18:00:00,221,High Demand
Ward 2,Thursday,19:00:00,213,High Demand
Ward 2,Thursday,20:00:00,221,High Demand
Ward 2,Thursday,21:00:00,96,High Demand
Ward 2,Thursday,22:00:00,79,Medium Demand
Ward 2,Thursday,23:00:00,95,High Demand
Ward 2,Friday,00:00:00,92,High Demand
Ward 2,Friday,01:00:00,72,Medium Demand
Ward 2,Friday,02:00:00,84,Medium Demand
Ward 2,Friday,03:00:00,74,Medium Demand
Ward 2,Friday,04:00:00,77,Medium Demand
Ward 2,Friday,05:00:00,98,High Demand
Ward 2,Friday,06:00:00,161,High Demand
Ward 2,Friday,07:00:00,164,High Demand
Ward 2,Friday,08:00:00,157,High Demand
Ward 2,Friday,09:00:00,177,High Demand
Ward 2,Friday,10:00:00,145,High Demand
Ward 2,Friday,11:00:00,124,High Demand
Ward 2,Friday,12:00:00,144,High Demand
Ward 2,Friday,13:00:00,138,High Demand
Ward 2,Friday,14:00:00,141,High Demand
Ward 2,Friday,15:00:00,137,High Demand
Ward 2,Friday,16:00:00,132,High Demand
Ward 2,Friday,17:00:00,206,High Demand
Ward 2,Friday,18:00:00,220,High Demand
Ward 2,Friday,19:00:00,209,High Demand
Ward 2,Friday,20:00:00,201,High Demand
Ward 2,Friday,21:00:00,84,Medium Demand
Ward 2,Friday,22:00:00,78,Medium Demand
Ward 2,Friday,23:00:00,91,High Demand
Ward 2,Saturday,00:00:00,100,High Demand
Ward 2,Saturday,01:00:00,93,High Demand
Ward 2,Saturday,02:00:00,103,High Demand
Ward 2,Saturday,03:00:00,104,High Demand
Ward 2,Saturday,04:00:00,102,High Demand
Ward 2,Saturday,05:00:00,102,High Demand
Ward 2,Saturday,06:00:00,192,High Demand
Ward 2,Saturday,07:00:00,210,High Demand
Ward 2,Saturday,08:00:00,192,High Demand
Ward 2,Saturday,09:00:00,198,High Demand
Ward 2,Saturday,10:00:00,152,High Demand
Ward 2,Saturday,11:00:00,141,High Demand
Ward 2,Saturday,12:00:00,154,High Demand
Ward 2,Saturday,13:00:00,159,High Demand
Ward 2,Saturday,14:00:00,142,High Demand
Ward 2,Saturday,15:00:00,146,High Demand
Ward 2,Saturday,16:00:00,154,High Demand
Ward 2,Saturday,17:00:00,241,High Demand
Ward 2,Saturday,18:00:00,223,High Demand
Ward 2,Saturday,19:00:00,248,High Demand
Ward 2,Saturday,20:00:00,243,High Demand
Ward 2,Saturday,21:00:00,92,High Demand
Ward 2,Saturday,22:00:00,86,Medium Demand
Ward 2,Saturday,23:00:00,93,High Demand
Ward 3,Sunday,00:00:00,64,Medium Demand
Ward 3,Sunday,01:00:00,58,Low Demand
Ward 3,Sunday,02:00:00,71,Medium Demand
Ward 3,Sunday,03:00:00,57,Low Demand
Ward 3,Sunday,04:00:00,74,Medium Demand
Ward 3,Sunday,05:00:00,66,Medium Demand
Ward 3,Sunday,06:00:00,147,High Demand
Ward 3,Sunday,07:00:00,124,High Demand
Ward 3,Sunday,08:00:00,140,High Demand
Ward 3,Sunday,09:00:00,123,High Demand
Ward 3,Sunday,10:00:00,111,High Demand
Ward 3,Sunday,11:00:00,92,High Demand
Ward 3,Sunday,12:00:00,101,High Demand
Ward 3,Sunday,13:00:00,105,High Demand
Ward 3,Sunday,14:00:00,112,High Demand
Ward 3,Sunday,15:00:00,97,High Demand
Ward 3,Sunday,16:00:00,103,High Demand
Ward 3,Sunday,17:00:00,152,High Demand
Ward 3,Sunday,18:00:00,169,High Demand
Ward 3,Sunday,19:00:00,159,High Demand
Ward 3,Sunday,20:00:00,152,High Demand
Ward 3,Sunday,21:00:00,73,Medium Demand
Ward 3,Sunday,22:00:00,63,Medium Demand
Ward 3,Sunday,23:00:00,67,Medium Demand
Ward 3,Monday,00:00:00,56,Low Demand
Ward 3,Monday,01:00:00,53,Low Demand
Ward 3,Monday,02:00:00,57,Low Demand
Ward 3,Monday,03:00:00,54,Low Demand
Ward 3,Monday,04:00:00,68,Medium Demand
Ward 3,Monday,05:00:00,56,Low Demand
Ward 3,Monday,06:00:00,125,High Demand
Ward 3,Monday,07:00:00,118,High Demand
Ward 3,Monday,08:00:00,116,High Demand
Ward 3,Monday,09:00:00,116,High Demand
Ward 3,Monday,10:00:00,82,Medium Demand
Ward 3,Monday,11:00:00,89,Medium Demand
Ward 3,Monday,12:00:00,89,Medium Demand
Ward 3,Monday,13:00:00,83,Medium Demand
Ward 3,Monday,14:00:00,82,Medium Demand
Ward 3,Monday,15:00:00,95,High Demand
Ward 3,Monday,16:00:00,90,Medium Demand
Ward 3,Monday,17:00:00,140,High Demand
Ward 3,Monday,18:00:00,153,High Demand
Ward 3,Monday,19:00:00,134,High Demand
Ward 3,Monday,20:00:00,143,High Demand
Ward 3,Monday,21:00:00,56,Low Demand
Ward 3,Monday,22:00:00,57,Low Demand
Ward 3,Monday,23:00:00,54,Low Demand
Ward 3,Tuesday,00:00:00,56,Low Demand
Ward 3,Tuesday,01:00:00,62,Medium Demand
Ward 3,Tuesday,02:00:00,65,Medium Demand
Ward 3,Tuesday,03:00:00,51,Low Demand
Ward 3,Tuesday,04:00:00,65,Medium Demand
Ward 3,Tuesday,05:00:00,50,Low Demand
Ward 3,Tuesday,06:00:00,109,High Demand
Ward 3,Tuesday,07:00:00,119,High Demand
Ward 3,Tuesday,08:00:00,121,High Demand
Ward 3,Tuesday,09:00:00,120,High Demand
Ward 3,Tuesday,10:00:00,99,High Demand
Ward 3,Tuesday,11:00:00,96,High Demand
Ward 3,Tuesday,12:00:00,94,High Demand
Ward 3,Tuesday,13:00:00,94,High Demand
Ward 3,Tuesday,14:00:00,94,High Demand
Ward 3,Tuesday,15:00:00,89,Medium Demand
Ward 3,Tuesday,16:00:00,94,High Demand
Ward 3,Tuesday,17:00:00,149,High Demand
Ward 3,Tuesday,18:00:00,148,High Demand
Ward 3,Tuesday,19:00:00,142,High Demand
Ward 3,Tuesday,20:00:00,151,High Demand
Ward 3,Tuesday,21:00:00,51,Low Demand
Ward 3,Tuesday,22:00:00,54,Low Demand
Ward 3,Tuesday,23:00:00,51,Low Demand
Ward 3,Wednesday,00:00:00,58,Low Demand
Ward 3,Wednesday,01:00:00,53,Low Demand
Ward 3,Wednesday,02:00:00,58,Low Demand
Ward 3,Wednesday,03:00:00,65,Medium Demand
Ward 3,Wednesday,04:00:00,62,Medium Demand
Ward 3,Wednesday,05:00:00,63,Medium Demand
Ward 3,Wednesday,06:00:00,114,High Demand
Ward 3,Wednesday,07:00:00,116,High Demand
Ward 3,Wednesday,08:00:00,112,High Demand
Ward 3,Wednesday,09:00:00,113,High Demand
Ward 3,Wednesday,10:00:00,101,High Demand
Ward 3,Wednesday,11:00:00,95,High Demand
Ward 3,Wednesday,12:00:00,84,Medium Demand
Ward 3,Wednesday,13:00:00,93,High Demand
Ward 3,Wednesday,14:00:00,95,High Demand
Ward 3,Wednesday,15:00:00,91,High Demand
Ward 3,Wednesday,16:00:00,92,High Demand
Ward 3,Wednesday,17:00:00,143,High Demand
Ward 3,Wednesday,18:00:00,144,High Demand
Ward 3,Wednesday,19:00:00,139,High Demand
Ward 3,Wednesday,20:00:00,156,High Demand
Ward 3,Wednesday,21:00:00,54,Low Demand
Ward 3,Wednesday,22:00:00,69,Medium Demand
Ward 3,Wednesday,23:00:00,52,Low Demand
Ward 3,Thursday,00:00:00,51,Low Demand
Ward 3,Thursday,01:00:00,51,Low Demand
Ward 3,Thursday,02:00:00,50,Low Demand
Ward 3,Thursday,03:00:00,61,Medium Demand
Ward 3,Thursday,04:00:00,59,Low Demand
Ward 3,Thursday,05:00:00,51,Low Demand
Ward 3,Thursday,06:00:00,109,High Demand
Ward 3,Thursday,07:00:00,123,High Demand
Ward 3,Thursday,08:00:00,124,High Demand
Ward 3,Thursday,09:00:00,117,High Demand
Ward 3,Thursday,10:00:00,87,Medium Demand
Ward 3,Thursday,11:00:00,86,Medium Demand
Ward 3,Thursday,12:00:00,84,Medium Demand
Ward 3,Thursday,13:00:00,102,High Demand
Ward 3,Thursday,14:00:00,86,Medium Demand
Ward 3,Thursday,15:00:00,99,High Demand
Ward 3,Thursday,16:00:00,87,Medium Demand
Ward 3,Thursday,17:00:00,132,High Demand
Ward 3,Thursday,18:00:00,133,High Demand
Ward 3,Thursday,19:00:00,130,High Demand
Ward 3,Thursday,20:00:00,146,High Demand
Ward 3,Thursday,21:00:00,59,Low Demand
Ward 3,Thursday,22:00:00,47,Low Demand
Ward 3,Thursday,23:00:00,52,Low Demand
Ward 3,Friday,00:00:00,50,Low Demand
Ward 3,Friday,01:00:00,57,Low Demand
Ward 3,Friday,02:00:00,55,Low Demand
Ward 3,Friday,03:00:00,56,Low Demand
Ward 3,Friday,04:00:00,50,Low Demand
Ward 3,Friday,05:00:00,54,Low Demand
Ward 3,Friday,06:00:00,119,High Demand
Ward 3,Friday,07:00:00,123,High Demand
Ward 3,Friday,08:00:00,126,High Demand
Ward 3,Friday,09:00:00,114,High Demand
Ward 3,Friday,10:00:00,86,Medium Demand
Ward 3,Friday,11:00:00,81,Medium Demand
Ward 3,Friday,12:00:00,95,High Demand
Ward 3,Friday,13:00:00,91,High Demand
Ward 3,Friday,14:00:00,93,High Demand
Ward 3,Friday,15:00:00,93,High Demand
Ward 3,Friday,16:00:00,97,High Demand
Ward 3,Friday,17:00:00,143,High Demand
Ward 3,Friday,18:00:00,136,High Demand
Ward 3,Friday,19:00:00,130,High Demand
Ward 3,Friday,20:00:00,131,High Demand
Ward 3,Friday,21:00:00,52,Low Demand
Ward 3,Friday,22:00:00,56,Low Demand
Ward 3,Friday,23:00:00,52,Low Demand
Ward 3,Saturday,00:00:00,71,Medium Demand
Ward 3,Saturday,01:00:00,72,Medium Demand
Ward 3,Saturday,02:00:00,71,Medium Demand
Ward 3,Saturday,03:00:00,72,Medium Demand
Ward 3,Saturday,04:00:00,62,Medium Demand
Ward 3,Saturday,05:00:00,74,Medium Demand
Ward 3,Saturday,06:00:00,125,High Demand
Ward 3,Saturday,07:00:00,138,High Demand
Ward 3,Saturday,08:00:00,125,High Demand
Ward 3,Saturday,09:00:00,138,High Demand
Ward 3,Saturday,10:00:00,109,High Demand
Ward 3,Saturday,11:00:00,103,High Demand
Ward 3,Saturday,12:00:00,109,High Demand
Ward 3,Saturday,13:00:00,106,High Demand
Ward 3,Saturday,14:00:00,114,High Demand
Ward 3,Saturday,15:00:00,112,High Demand
Ward 3,Saturday,16:00:00,110,High Demand
Ward 3,Saturday,17:00:00,152,High Demand
Ward 3,Saturday,18:00:00,148,High Demand
Ward 3,Saturday,19:00:00,179,High Demand
Ward 3,Saturday,20:00:00,179,High Demand
Ward 3,Saturday,21:00:00,73,Medium Demand
Ward 3,Saturday,22:00:00,54,Low Demand
Ward 3,Saturday,23:00:00,56,Low Demand
Ward 4,Sunday,00:00:00,60,Medium Demand
Ward 4,Sunday,01:00:00,66,Medium Demand
Ward 4,Sunday,02:00:00,62,Medium Demand
Ward 4,Sunday,03:00:00,56,Low Demand
Ward 4,Sunday,04:00:00,57,Low Demand
Ward 4,Sunday,05:00:00,66,Medium Demand
Ward 4,Sunday,06:00:00,124,High Demand
Ward 4,Sunday,07:00:00,123,High Demand
Ward 4,Sunday,08:00:00,132,High Demand
Ward 4,Sunday,09:00:00,132,High Demand
Ward 4,Sunday,10:00:00,113,High Demand
Ward 4,Sunday,11:00:00,105,High Demand
Ward 4,Sunday,12:00:00,98,High Demand
Ward 4,Sunday,13:00:00,98,High Demand
Ward 4,Sunday,14:00:00,103,High Demand
Ward 4,Sunday,15:00:00,100,High Demand
Ward 4,Sunday,16:00:00,105,High Demand
Ward 4,Sunday,17:00:00,173,High Demand
Ward 4,Sunday,18:00:00,158,High Demand
Ward 4,Sunday,19:00:00,157,High Demand
Ward 4,Sunday,20:00:00,175,High Demand
Ward 4,Sunday,21:00:00,65,Medium Demand
Ward 4,Sunday,22:00:00,58,Low Demand
Ward 4,Sunday,23:00:00,49,Low Demand
Ward 4,Monday,00:00:00,53,Low Demand
Ward 4,Monday,01:00:00,54,Low Demand
Ward 4,Monday,02:00:00,54,Low Demand
Ward 4,Monday,03:00:00,44,Low Demand
Ward 4,Monday,04:00:00,52,Low Demand
Ward 4,Monday,05:00:00,51,Low Demand
Ward 4,Monday,06:00:00,122,High Demand
Ward 4,Monday,07:00:00,119,High Demand
Ward 4,Monday,08:00:00,115,High Demand
Ward 4,Monday,09:00:00,127,High Demand
Ward 4,Monday,10:00:00,84,Medium Demand
Ward 4,Monday,11:00:00,83,Medium Demand
Ward 4,Monday,12:00:00,88,Medium Demand
Ward 4,Monday,13:00:00,95,High Demand
Ward 4,Monday,14:00:00,81,Medium Demand
Ward 4,Monday,15:00:00,87,Medium Demand
Ward 4,Monday,16:00:00,90,Medium Demand
Ward 4,Monday,17:00:00,141,High Demand
Ward 4,Monday,18:00:00,154,High Demand
Ward 4,Monday,19:00:00,155,High Demand
Ward 4,Monday,20:00:00,150,High Demand
Ward 4,Monday,21:00:00,58,Low Demand
Ward 4,Monday,22:00:00,53,Low Demand
Ward 4,Monday,23:00:00,54,Low Demand
Ward 4,Tuesday,00:00:00,44,Low Demand
Ward 4,Tuesday,01:00:00,57,Low Demand
Ward 4,Tuesday,02:00:00,48,Low Demand
Ward 4,Tuesday,03:00:00,51,Low Demand
Ward 4,Tuesday,04:00:00,57,Low Demand
Ward 4,Tuesday,05:00:00,53,Low Demand
Ward 4,Tuesday,06:00:00,108,High Demand
Ward 4,Tuesday,07:00:00,109,High Demand
Ward 4,Tuesday,08:00:00,114,High Demand
Ward 4,Tuesday,09:00:00,125,High Demand
Ward 4,Tuesday,10:00:00,82,Medium Demand
Ward 4,Tuesday,11:00:00,88,Medium Demand
Ward 4,Tuesday,12:00:00,98,High Demand
Ward 4,Tuesday,13:00:00,89,Medium Demand
Ward 4,Tuesday,14:00:00,90,Medium Demand
